RA,DEC,MAG_AUTO,MAGERR_AUTO
357.7030052,-31.8206118,-3.6836,0.3192
357.3123939,-31.8216073,-4.8908,0.1052
356.7404369,-31.8206396,-4.1252,0.2493
356.9569402,-31.8213776,-4.0343,0.2982
356.5926258,-31.8201984,-5.4022,0.0982
357.6845489,-31.8204404,-4.299,0.2643
357.313332,-31.8211084,-3.8828,0.3521
356.9624984,-31.8209405,-4.7674,0.157
357.3466084,-31.8209908,-4.1953,0.2864
357.3041297,-31.8213006,-3.9925,0.4034
357.701038,-31.8203844,-4.1783,0.3195
357.700484,-31.8201128,-3.7014,0.4655
356.6135205,-31.8197378,-4.2931,0.3112
356.5790123,-31.8193865,99.0,99.0
356.7180357,-31.8195369,-4.5989,0.2349
357.3443118,-31.8203934,-5.1331,0.1497
356.9524077,-31.8200037,-6.2942,0.0412
356.5731693,-31.8199793,99.0,99.0
356.9716495,-31.8196444,-4.1846,0.2469
356.7123718,-31.8184086,-4.99,0.1763
356.7212325,-31.8190567,-4.6577,0.2052
357.5216355,-31.8191298,-5.2059,0.1634
356.9774321,-31.819027,-9.3058,0.0377
357.6754577,-31.8184095,-4.4944,0.2665
356.5974577,-31.817643,-4.7131,0.2211
356.5800897,-31.8171737,-4.3317,0.2434
357.7015625,-31.8187514,-4.4604,0.2299
356.6027016,-31.8171821,-4.9988,0.1649
357.7031225,-31.8178027,-4.4122,0.327
357.3203469,-31.8182933,99.0,99.0
357.3325712,-31.8178849,-4.2275,0.2674
356.8190521,-31.816535,-3.9901,0.2352
357.3048679,-31.817208,-3.2277,0.6764
357.3064975,-31.8168358,-4.949,0.1055
356.6001251,-31.8148677,-4.1534,0.2497
357.3090346,-31.8170898,-4.3738,0.2834
357.696453,-31.8151603,-4.1149,0.2664
357.3379106,-31.8168452,-13.7279,0.0498
357.4494619,-31.8155538,-4.66,0.1366
356.586039,-31.8146283,-4.0845,0.4743
356.945938,-31.8150382,-4.8743,0.11
357.3047755,-31.816028,99.0,99.0
357.7054992,-31.814774,-3.0259,1.3838
357.3057346,-31.8155953,-3.6032,0.7722
357.7038283,-31.8135209,-4.4945,0.2361
357.344496,-31.8147387,-5.4253,0.2126
357.6954944,-31.8133809,-4.7055,0.1935
357.31023,-31.8138522,99.0,99.0
357.3037978,-31.8138852,-3.7261,0.4262
357.3320531,-31.8127457,-4.8395,0.2084
357.4303438,-31.8132983,-13.8753,0.0459
356.7623962,-31.8114722,-5.7588,0.0614
356.5917156,-31.8116875,-4.7872,0.2181
357.6158002,-31.8112871,-5.8629,0.06
356.976464,-31.8126844,-3.6383,0.6431
357.4307344,-31.8131099,-13.583,0.0777
357.3082828,-31.8119616,-3.9396,0.3814
357.3017532,-31.8112885,-6.9774,0.035
357.3007436,-31.8112285,-3.9487,0.4234
356.8828337,-31.8104189,-4.7577,0.1267
357.7067013,-31.810294,-6.7372,0.0423
357.7049863,-31.8101767,-3.4003,0.7818
357.3010841,-31.8107786,-4.3501,0.27
357.3544308,-31.8103358,-4.7868,0.1579
357.430329,-31.812594,-14.2693,0.0525
357.7056619,-31.8090537,-4.2907,0.2509
356.6250439,-31.8088361,-4.533,0.1686
356.7128849,-31.8093541,-4.6598,0.2183
356.7127374,-31.8090506,-4.8081,0.2543
357.7075583,-31.8095334,99.0,99.0
357.7019744,-31.8083168,-4.5573,0.1756
357.3098753,-31.8091035,-4.5154,0.1724
357.7052588,-31.8082648,-3.6745,0.454
356.5707583,-31.8079353,-3.9058,0.4489
356.7083567,-31.8077147,-6.1057,0.1076
356.6745888,-31.807383,-4.653,0.1849
356.5686382,-31.8072909,-3.7683,0.4029
357.2976393,-31.8087019,-5.2462,0.1539
356.5815409,-31.8074924,-4.1449,0.3344
357.299742,-31.8078641,-4.4261,0.2318
356.706979,-31.8071935,-5.7198,0.138
357.3056296,-31.8079903,-2.7055,1.1906
356.9789192,-31.808155,-4.3449,0.4233
356.5686958,-31.8078411,99.0,99.0
356.7015782,-31.8055419,-4.6371,0.2206
357.7082625,-31.8074625,99.0,99.0
356.5676849,-31.8051362,-5.0841,0.1968
357.3003294,-31.8062724,-3.3605,0.7438
357.7058059,-31.8047165,-4.6973,0.2048
357.7036218,-31.80508,-4.5515,0.2686
357.706425,-31.805034,-3.4458,0.8741
356.5687727,-31.8045797,-2.9537,1.4754
357.7044928,-31.8045086,-5.0712,0.1938
357.6981303,-31.8037617,-4.8905,0.156
357.7056796,-31.803939,-4.3606,0.2813
357.7022892,-31.8028318,-4.5161,0.2033
357.6972407,-31.803541,-4.9486,0.2174
357.7014568,-31.8032198,-4.4909,0.2247
357.7063351,-31.8042517,-5.3435,0.1994
357.7097387,-31.8036268,-5.4822,2.14
357.7072096,-31.8024387,-4.414,0.3608
357.7060588,-31.803234,-4.9405,0.1752
357.7038017,-31.803578,-4.0151,0.4841
357.7064467,-31.802404,-3.6882,0.6379
357.7039582,-31.8019627,-4.1467,0.3418
357.7064378,-31.8031031,-4.4658,0.3845
357.7078175,-31.802046,-4.2237,0.2391
357.7091825,-31.8020037,-4.8166,0.2179
357.7074981,-31.8020934,-4.7598,0.2468
357.7087899,-31.8021112,-4.9785,0.3365
357.3041988,-31.8017246,-4.2973,0.2346
356.9783379,-31.801847,99.0,99.0
356.5799986,-31.8004203,-4.28,0.2795
357.7088767,-31.8009834,-4.9282,0.2577
357.7038827,-31.8011815,-4.6431,0.2568
356.5687717,-31.8002027,-5.0786,0.184
357.7052732,-31.801051,-4.7718,0.3292
356.9540811,-31.8000934,-4.8759,0.1383
357.7065125,-31.8003142,-5.378,0.1691
357.707187,-31.8003505,-4.9918,0.195
357.7097995,-31.7982472,-4.4784,8.4194
357.7003258,-31.7987619,-4.6254,0.3144
357.7097697,-31.798643,-5.4854,0.1351
357.703303,-31.7981934,-5.8056,0.1152
356.7017136,-31.7976037,-5.0598,0.2096
357.7046881,-31.7967227,-5.0071,0.1764
357.7035799,-31.7975377,-5.5384,0.1296
357.7001499,-31.7965503,-4.5141,0.2263
356.5834176,-31.7957284,-4.4182,0.2037
357.316957,-31.7974587,-4.5874,0.2769
357.7036446,-31.7966684,-5.1856,0.2043
357.7022653,-31.7958367,-5.2436,0.1433
357.7037008,-31.7955932,-5.0634,0.1769
357.7037117,-31.7962158,-5.0706,0.206
357.7021941,-31.7955471,-4.8343,0.1841
357.7045022,-31.795561,-5.7236,0.1188
357.702347,-31.7943633,-4.8832,0.1764
357.699514,-31.7942879,-4.3152,0.3301
357.7037146,-31.7939627,-5.2164,0.1649
357.7049684,-31.7926528,-4.7265,0.1667
357.3000739,-31.7938183,-4.2222,0.3359
357.709128,-31.7925595,-3.9683,0.3639
357.7075147,-31.7928135,-5.297,0.1389
357.7064086,-31.7918823,-4.2038,0.1656
357.7071481,-31.7920262,-4.499,0.2034
357.3012021,-31.7938145,-4.7768,0.2481
357.7044447,-31.792176,-4.6472,0.199
357.7067031,-31.7920439,-4.8459,0.181
357.709565,-31.7916159,-4.5425,0.2132
357.709168,-31.7923121,-5.6667,4.4941
357.7057539,-31.7931488,-4.6841,0.3399
357.7042613,-31.7925967,-4.7484,0.2356
357.7028898,-31.7917811,-4.4582,0.1758
357.708352,-31.792882,-6.0028,0.1193
357.7020143,-31.7916172,-5.1194,0.1526
357.7039294,-31.7914628,-3.9731,0.4094
356.9782183,-31.7923681,99.0,99.0
357.7084806,-31.7935431,-6.1663,0.1161
356.5808873,-31.790494,-4.6007,0.2073
357.5677652,-31.7914108,-5.2767,0.1799
356.978341,-31.7917257,-4.2036,0.3307
357.7047349,-31.7908356,-4.6456,0.2397
357.6644208,-31.790716,-5.3633,0.2096
357.7094944,-31.7910863,-5.2504,2.0443
357.6984983,-31.7897517,-4.4539,0.21
357.7083963,-31.7893666,-5.1132,0.1941
357.7025163,-31.7895298,-5.2441,0.2233
357.6663599,-31.7881404,-4.3425,0.2519
357.7053656,-31.7886273,-4.1747,0.3459
357.7096131,-31.7898017,-6.0093,3.1735
357.7060617,-31.790178,-5.3429,0.2604
357.7073192,-31.7879235,-5.2402,0.1467
357.7048451,-31.7886426,-5.2712,0.1628
357.7086052,-31.7884364,99.0,99.0
357.709622,-31.7870428,-4.5295,5.6121
357.7077113,-31.7861538,-4.8296,0.1658
357.7080381,-31.7865365,-5.636,0.1264
356.9789651,-31.7879548,-4.4977,3.8755
357.7088867,-31.7858665,-2.9084,1.3194
357.7040725,-31.7883172,-5.6744,0.1632
356.5771199,-31.7843352,-4.0218,0.3804
357.7090966,-31.7848052,-4.6744,0.3045
357.7048195,-31.7842713,-5.101,0.199
357.708421,-31.7854765,-4.8095,0.3976
357.7062739,-31.7831207,-4.3397,0.2476
357.7040198,-31.7825391,-4.2285,0.4943
357.7067028,-31.783364,-4.8435,0.2759
357.7051833,-31.7814846,-4.9351,0.1728
357.7036921,-31.781741,-4.8947,0.2347
357.7023047,-31.7818216,-5.2177,0.21
357.7076267,-31.7814647,-5.7137,0.106
357.7060821,-31.7813359,-4.7321,0.3039
357.6958168,-31.7805449,-4.5725,0.2112
357.7084758,-31.7807117,-5.1449,0.1678
357.7082335,-31.7814236,-5.7919,0.125
357.7091105,-31.779555,-4.991,0.1636
357.7084382,-31.7801676,-4.8839,0.251
357.7085554,-31.7795869,-3.8635,0.5042
357.7090881,-31.7804186,-5.4825,0.1814
357.7035034,-31.7793063,-4.7974,0.2449
357.7088329,-31.7792252,-4.9315,0.2093
357.7037529,-31.7795431,-4.9656,0.175
357.7041231,-31.7789986,-4.7656,0.2109
356.5800076,-31.7781639,-4.1504,0.3303
357.7062554,-31.7779996,-4.33,0.2833
357.3065632,-31.7788821,-4.6507,0.1748
357.7046733,-31.778087,-4.2919,0.2446
356.9780312,-31.7791941,-1.2527,7.1238
357.7038053,-31.7784744,-5.1921,0.2457
357.7043573,-31.7782826,-5.2384,0.1496
357.7087972,-31.7774157,99.0,99.0
357.707513,-31.7778067,99.0,99.0
357.705716,-31.7781587,-4.9534,0.22
357.2994827,-31.7776161,-4.3586,0.2882
357.708254,-31.777,-4.5815,0.4488
357.7052355,-31.7763495,-4.7743,0.2121
357.355647,-31.7763666,-4.7592,0.2259
357.7085576,-31.7762882,99.0,99.0
357.7042636,-31.7754474,-5.0226,0.1971
357.7075896,-31.7756057,-5.0511,0.1831
357.7087992,-31.7753112,-5.8574,0.1345
357.7069713,-31.7760485,-4.963,0.2788
357.7087735,-31.7739401,-3.925,0.3212
357.7093769,-31.7740325,-6.1395,1.5115
357.7032142,-31.7741572,-4.8201,0.2189
356.9485453,-31.7742505,-4.3422,0.1807
356.979038,-31.7747458,-3.2954,0.903
357.3234233,-31.7742677,-4.5431,0.1642
357.7089235,-31.773434,-6.2671,0.0779
357.7084385,-31.7742027,99.0,99.0
356.9736776,-31.7738188,-5.1156,0.1648
357.7064153,-31.7724011,-4.4152,0.2408
357.7053574,-31.7724899,-4.4008,0.2586
357.7043245,-31.772815,-5.0687,0.2129
357.7059262,-31.7726726,-5.5324,0.1423
357.7045412,-31.7725109,-3.7755,0.6828
357.7084383,-31.7714311,-5.4641,0.1287
357.6908696,-31.7712147,-4.8737,0.1372
357.3149496,-31.7719024,-4.3582,0.2534
357.2990611,-31.771666,-4.7419,0.1898
357.7087113,-31.7698051,-4.803,0.1881
356.9777218,-31.7712712,-4.0897,0.5272
357.2968382,-31.7711495,-4.3232,0.4343
357.7057885,-31.7695741,-4.8178,0.1955
357.7091933,-31.76975,-5.1421,0.1621
357.7089082,-31.769459,-5.7381,0.1019
356.9484175,-31.769531,-5.3531,0.2197
357.7042886,-31.7689664,-5.0145,0.1757
357.4910231,-31.7692252,-4.8307,0.2172
357.7051691,-31.7687745,-4.2731,0.2922
357.301379,-31.7697288,-4.0942,0.4408
357.7042032,-31.7681429,-4.1887,0.2888
356.9789315,-31.7683314,-4.1872,0.4144
357.7094408,-31.7667679,-6.0807,3.0152
357.7091709,-31.7663895,-2.2744,2.352
356.9779354,-31.7657787,-5.4934,0.124
357.7010726,-31.765613,-4.8434,0.2237
356.9782947,-31.765557,-5.8271,0.1042
357.708753,-31.7644281,99.0,99.0
357.7005861,-31.7637675,-4.8819,0.1792
356.9788258,-31.7649387,99.0,99.0
357.2974962,-31.7653753,-4.6568,0.3072
356.9715178,-31.7639127,-5.0882,0.1435
357.7085518,-31.7632466,99.0,99.0
356.971541,-31.7642383,-5.7787,0.1253
356.9780537,-31.7633121,-4.1538,0.3785
357.7088972,-31.7630621,-4.9965,0.2114
357.7062293,-31.7619413,-4.1572,0.3255
356.9779879,-31.7627754,-5.1493,0.1304
357.7084464,-31.7624712,-4.7066,0.3223
356.9666561,-31.7629433,-5.404,0.1423
357.7048,-31.7610785,-4.8378,0.1871
357.7074095,-31.7616398,-4.9811,0.1841
357.7086147,-31.7613526,99.0,99.0
356.9780446,-31.7612282,-4.0999,0.4668
357.708748,-31.7605126,-4.1844,0.3828
357.7072303,-31.7608319,-5.1264,0.2371
357.7088691,-31.7601669,-4.0051,0.4874
356.9768949,-31.7608672,-4.9961,0.2331
357.7021954,-31.7590919,-4.7777,0.2319
357.7091692,-31.7599189,99.0,99.0
357.707096,-31.7585685,-4.5384,0.2605
357.7061676,-31.7578217,-4.8475,0.2404
357.7087197,-31.758257,99.0,99.0
356.9777487,-31.7575853,-4.3562,0.3218
357.3098296,-31.7565008,-4.5234,0.2717
357.2980996,-31.7567047,-4.431,0.2861
356.9736889,-31.7561977,-4.3834,0.1956
356.9736923,-31.7574108,-4.5254,0.3348
357.707635,-31.7556468,-3.9536,0.4548
357.3040422,-31.7550391,-4.4249,0.3686
356.9767953,-31.7543763,-3.7168,0.6526
357.7071022,-31.7528939,-5.196,0.1359
357.7031015,-31.7527981,-4.9903,0.2447
357.7088456,-31.7504485,99.0,99.0
357.7084335,-31.75115,-3.3946,1.1346
357.708405,-31.7505014,99.0,99.0
357.7079709,-31.7494214,-4.1491,0.3342
357.7092201,-31.7490851,99.0,99.0
357.7079207,-31.7488584,-3.5709,0.9252
357.7009803,-31.748314,-5.1778,0.1706
357.706906,-31.747466,-4.5369,0.3201
357.7074537,-31.7470129,99.0,99.0
357.6023055,-31.7462867,-5.3806,0.149
357.7085882,-31.7459325,99.0,99.0
356.9787345,-31.7472561,99.0,99.0
357.7083238,-31.7455521,-4.1834,0.6204
356.9789722,-31.7452471,99.0,99.0
357.7088872,-31.7454531,99.0,99.0
357.303424,-31.7429207,-5.2667,0.0944
357.41684,-31.7409727,-5.1276,0.1757
357.7069355,-31.7396098,-4.7458,0.1914
356.9777602,-31.7405937,-4.4658,0.3523
357.7080599,-31.7398458,-3.2733,1.3668
357.6971752,-31.7382051,-4.4001,0.1946
356.9778936,-31.7395909,-4.6772,0.238
357.7089181,-31.7384691,-1.2942,5.8992
357.7084141,-31.7381872,-1.2698,6.2684
357.297893,-31.7378202,-4.7735,0.2132
356.5708584,-31.7361509,-4.8743,0.2266
357.6990652,-31.7369854,-5.3913,0.1448
357.3210208,-31.7374415,-5.8007,0.144
357.2960817,-31.7346781,-3.9686,0.5785
356.5689085,-31.7329722,-2.8605,1.1206
357.7092886,-31.7327938,-5.1297,4.5794
357.7089886,-31.7330314,-2.7649,1.4552
357.7072655,-31.7324577,-4.9513,0.2281
356.9779735,-31.7329001,-2.8776,1.4696
356.5659655,-31.7308231,-5.2466,1.363
357.7086362,-31.7313253,99.0,99.0
357.7046087,-31.731147,-4.1301,0.3385
356.5693694,-31.7291668,-4.7633,0.2137
356.5803317,-31.7287742,-5.6733,0.1546
357.709376,-31.7287473,-4.7251,1.5299
357.7082818,-31.7286788,-5.4356,1.1966
357.7070273,-31.7276946,-3.7516,0.6173
357.6993324,-31.7281522,-4.8215,0.3526
357.3009966,-31.7283994,-4.5752,0.2459
357.3026824,-31.7278664,-6.6517,0.0326
357.3030455,-31.7280378,-6.9857,0.0332
357.3039021,-31.7284516,-6.973,0.0404
357.2987078,-31.7270374,-4.2331,0.3873
356.977975,-31.7271771,-4.4485,0.378
357.7086978,-31.7261014,-3.9483,0.4557
357.7093302,-31.726008,-5.7293,3.6368
356.5703532,-31.7248562,-6.1046,0.0572
357.3474808,-31.7257941,-5.1433,0.1852
357.7094888,-31.7251199,-4.4938,0.3862
357.7039174,-31.7241252,-4.5987,0.2287
357.7088173,-31.7235162,99.0,99.0
357.5726938,-31.7227138,-4.8945,0.2037
357.6974232,-31.7219021,-4.3381,0.3775
356.9723439,-31.7217636,-4.6003,0.2414
356.9783424,-31.722102,99.0,99.0
356.9755563,-31.7207901,-4.3469,0.3796
357.6936413,-31.7192856,-5.4702,0.0768
357.7069797,-31.7193217,-4.8947,0.1596
357.7087484,-31.7195194,-4.9031,3.3492
356.9783993,-31.7201478,99.0,99.0
356.9766408,-31.7185735,-4.4511,0.2828
357.7089646,-31.7169688,-4.4342,0.2933
356.9789084,-31.7182839,99.0,99.0
356.9446128,-31.7150017,-5.3173,0.0768
357.7083061,-31.71333,-2.1024,3.4623
356.9789962,-31.7133931,-1.1674,6.7621
357.3755016,-31.713144,-4.709,0.2398
357.7094054,-31.711634,-3.0109,0.5681
357.2960874,-31.7130117,-3.0926,1.5786
357.7093453,-31.7118997,-4.9924,1.6458
357.7092089,-31.7088734,99.0,99.0
357.7086667,-31.708327,99.0,99.0
357.7010851,-31.7053111,-5.2802,0.0892
357.7093219,-31.7043379,-4.9553,0.1787
357.7081591,-31.7045701,-3.6143,0.8122
356.9702111,-31.7036489,-4.5124,0.2202
356.9726252,-31.7021247,-4.7434,0.2198
357.2940838,-31.6984517,-5.635,3.3652
357.3020122,-31.6989045,-4.8833,0.1889
356.9780102,-31.6992758,-4.598,0.3523
356.9765738,-31.6976086,-4.2894,0.282
357.306777,-31.6968506,-4.6983,0.2028
357.3062109,-31.6967953,-5.1114,0.2067
357.2937795,-31.6958384,-5.2821,0.544
357.7080944,-31.6949286,99.0,99.0
357.2945898,-31.696131,-3.8752,0.3628
357.7059955,-31.6946797,-4.7599,0.2056
357.3071251,-31.6949327,-5.2,0.1654
357.2943926,-31.6958451,-6.097,2.2109
357.6972282,-31.6906779,-6.4303,0.043
357.2984197,-31.6915817,-3.7684,0.5883
357.7022374,-31.6897132,-4.5461,0.2687
357.7003894,-31.6899708,-5.1175,0.1366
357.70853,-31.6892083,-4.2859,0.4671
357.7072972,-31.6876706,-4.8027,0.1788
356.9460733,-31.6868409,-4.6494,0.2049
357.2988418,-31.6868536,-4.7205,0.2137
356.9794703,-31.6850882,-9.0248,0.0161
357.708202,-31.6844732,99.0,99.0
357.3006743,-31.6848,-4.3924,0.275
356.978574,-31.6858475,99.0,99.0
356.9786885,-31.6831071,99.0,99.0
356.9784076,-31.6820842,99.0,99.0
356.9784591,-31.6786384,-1.1919,8.1439
356.9795827,-31.6787102,-4.8541,2.8536
356.9790834,-31.6774835,99.0,99.0
356.5757372,-31.6749215,-4.2582,0.2593
357.7015304,-31.6756504,-4.6378,0.2511
356.7855874,-31.6747241,-5.15,0.172
356.9789523,-31.6744503,-3.5394,0.6655
357.5843597,-31.6726405,-5.9212,0.1297
356.9775514,-31.6727288,-4.347,0.2586
357.3552108,-31.6713913,-4.3343,0.3233
356.5794054,-31.6698707,-6.2532,0.0499
357.5919372,-31.6699949,-4.9034,0.2373
356.8969735,-31.6705334,-4.7675,0.2327
356.9770267,-31.6701186,-4.1568,0.3723
356.575739,-31.6684759,-5.9661,0.0684
357.707054,-31.6690444,-6.8611,1.2411
356.9787906,-31.6700592,99.0,99.0
356.9773794,-31.6685591,-6.2879,0.7895
357.2942005,-31.6685291,99.0,99.0
357.2974633,-31.6679255,99.0,99.0
357.2263821,-31.6666397,-6.9575,0.3338
357.7253269,-31.6654421,99.0,99.0
357.7747203,-31.6652718,99.0,99.0
357.8081567,-31.6648217,99.0,99.0
357.2551049,-31.6662731,-4.5356,0.2243
357.8610646,-31.6641899,-4.6532,0.1453
357.2438741,-31.665608,-5.6403,0.0737
357.7044818,-31.6651996,-6.0394,0.0631
357.2995253,-31.6658444,-4.5484,0.2866
357.2948331,-31.6660211,-4.8141,0.1576
357.1295634,-31.6661454,-3.7435,2.8663
357.7625113,-31.6650248,99.0,99.0
357.7962891,-31.665036,-4.3142,0.3538
357.7788956,-31.6646239,-3.83,0.4259
357.7287273,-31.6648731,-2.739,1.1333
357.7843232,-31.6646155,-3.7312,0.4872
357.7633816,-31.6644089,-2.9516,0.887
357.2137565,-31.6662044,-4.0286,0.3793
357.1891536,-31.6653887,-3.5792,0.4454
357.7068132,-31.6647481,-4.133,0.2675
357.2225167,-31.6657242,0.686,28.5426
357.7163113,-31.6646448,-3.615,0.4842
357.8612069,-31.6638933,-4.5331,0.2467
357.1888839,-31.6661623,-4.6837,9.3517
357.2850106,-31.6653894,-3.695,0.3079
357.2001746,-31.6653826,99.0,99.0
357.2451103,-31.6656351,-4.0216,0.3739
357.7549877,-31.6643613,-3.6772,0.448
357.7671751,-31.6642214,-3.902,0.3528
357.0015962,-31.6654415,99.0,99.0
356.9995308,-31.6651126,-5.0009,0.1442
357.7136168,-31.6650279,99.0,99.0
357.830641,-31.6636808,-4.772,0.1739
357.2440568,-31.6659252,-8.9469,0.0118
357.7808377,-31.6644547,-2.2412,2.0488
357.2772278,-31.6657371,99.0,99.0
357.082621,-31.6650495,-7.3371,0.0277
357.1002798,-31.6654659,99.0,99.0
357.2890854,-31.6655197,99.0,99.0
357.8630833,-31.6641547,99.0,99.0
357.213965,-31.665511,99.0,99.0
357.1828338,-31.6655172,99.0,99.0
357.6893967,-31.6643862,-4.4184,0.2376
357.230517,-31.6651591,-4.0412,0.3412
357.0054479,-31.6653737,-4.9058,0.2136
356.9554225,-31.664948,-4.66,0.1942
357.7303036,-31.6640353,99.0,99.0
357.2956331,-31.6651595,-3.8741,0.3825
357.8084099,-31.6637079,-3.0069,0.7455
357.229409,-31.6662238,99.0,99.0
356.5751884,-31.6636086,-4.6481,0.2081
357.2462125,-31.6651471,-2.0294,1.9214
357.7667222,-31.6639272,-3.6018,0.5262
357.7954326,-31.6643802,99.0,99.0
357.1093961,-31.6649098,-6.9072,0.0364
357.1519436,-31.664688,-8.2781,0.0904
357.1721044,-31.6647161,-1.2405,4.6008
357.0894608,-31.665735,99.0,99.0
357.7924711,-31.663797,99.0,99.0
357.0482501,-31.665218,99.0,99.0
357.134289,-31.6653878,-3.5737,0.6893
357.802259,-31.6631403,99.0,99.0
357.2640457,-31.6651998,99.0,99.0
357.2408457,-31.6649647,-3.8755,0.4749
357.2325573,-31.6652955,99.0,99.0
357.2393916,-31.664636,99.0,99.0
357.252028,-31.6650344,99.0,99.0
357.0064162,-31.6647121,-1.7849,3.1578
356.8077954,-31.6640716,-5.5129,0.1101
357.1002866,-31.6644564,-8.1363,0.1068
357.7231279,-31.6644455,99.0,99.0
357.185961,-31.6647802,99.0,99.0
357.2631008,-31.6645603,-4.3552,0.2054
357.0023874,-31.6645962,-3.1131,0.8693
356.9776863,-31.6648423,-4.353,0.3051
357.2265426,-31.6652985,99.0,99.0
357.7849479,-31.6628982,-4.4536,0.1876
357.8170469,-31.6637761,99.0,99.0
357.1203408,-31.6654526,99.0,99.0
357.073333,-31.6651017,-9.1098,0.0127
357.1007769,-31.6647857,-9.9161,0.0086
356.9861458,-31.6650708,99.0,99.0
356.5561401,-31.6627199,-3.336,0.58
357.7882225,-31.6629685,99.0,99.0
357.7888339,-31.6644485,99.0,99.0
357.7114717,-31.662948,-4.2901,0.2606
357.1923209,-31.664181,0.0189,15.6384
357.1054874,-31.6638954,-7.5721,0.1218
357.1003121,-31.6639211,-6.7861,0.2993
357.2189946,-31.6658799,-10.272,0.0071
356.9908475,-31.6646505,99.0,99.0
357.2249536,-31.6639755,-1.8606,2.8789
357.1899366,-31.6636706,-5.9974,0.0515
356.5195487,-31.6619526,-7.942,0.1008
356.4561216,-31.6619822,99.0,99.0
357.1938783,-31.6639185,-0.3351,10.2412
356.4881901,-31.6621927,-2.1096,2.4016
357.7058874,-31.6622462,-6.4439,0.0339
357.7242163,-31.6632362,-2.5004,1.761
357.8765491,-31.6617717,-6.2839,0.0446
356.9757696,-31.6631404,-4.8708,0.1718
356.476186,-31.6617746,-5.6422,1.8794
357.8593965,-31.6639516,99.0,99.0
357.2249517,-31.6644643,99.0,99.0
357.7134057,-31.6624757,-4.2858,0.3557
