label,index,filename,mjd,x_star,y_star,flux
"StarA_(2534,3467)",0,V462_sloan_r_60.000secs_00000155_red.fits,60963.165546689816,2579.0084310399784,3436.979133066139,15508.231551579694
"StarA_(2534,3467)",1,V462_sloan_r_60.000secs_00000156_red.fits,60963.16625267361,2579.00259882545,3437.004745962335,9021.659560789969
"StarA_(2534,3467)",2,V462_sloan_r_60.000secs_00000157_red.fits,60963.16695868056,2578.9471232832307,3437.0136058475127,5319.261088220959
"StarA_(2534,3467)",3,V462_sloan_r_60.000secs_00000158_red.fits,60963.167664733795,2578.994028301813,3437.0077618453874,5914.672729983498
"StarA_(2534,3467)",4,V462_sloan_r_60.000secs_00000159_red.fits,60963.16837075231,2579.005201918781,3437.0010631724736,9421.803364143469
"StarA_(2534,3467)",5,V462_sloan_r_60.000secs_00000160_red.fits,60963.16907733796,2578.99532935669,3437.0067012289533,9229.712726831045
"StarA_(2534,3467)",6,V462_sloan_r_60.000secs_00000161_red.fits,60963.169783969905,2579.0194633926767,3437.003211052329,3603.5504283351843
"StarA_(2534,3467)",7,V462_sloan_r_60.000secs_00000162_red.fits,60963.17049039352,2578.995179784701,3437.0022070696555,3165.4227011521643
"StarA_(2534,3467)",8,V462_sloan_r_60.000secs_00000163_red.fits,60963.17119688657,2579.0077455039655,3437.0017430628695,2489.1938929585567
"StarA_(2534,3467)",9,V462_sloan_r_60.000secs_00000164_red.fits,60963.171903055554,2579.0158736663375,3437.0069210828915,3020.8052814547195
"StarA_(2534,3467)",10,V462_sloan_r_60.000secs_00000165_red.fits,60963.17260945602,2579.0122161665736,3436.9953184922765,3498.841417273054
"StarA_(2534,3467)",11,V462_sloan_r_60.000secs_00000166_red.fits,60963.1733150463,2579.028329132383,3437.0434828152333,3080.4170247325856
"StarA_(2534,3467)",12,V462_sloan_r_60.000secs_00000167_red.fits,60963.174021666666,2578.9976697101692,3436.9974713245238,3053.74501552301
"StarA_(2534,3467)",13,V462_sloan_r_60.000secs_00000168_red.fits,60963.174730625,2579.0251027965505,3437.004070151501,3548.759746395289
"StarA_(2534,3467)",14,V462_sloan_r_60.000secs_00000169_red.fits,60963.175437094906,2579.2239169965283,3437.396658975875,3400.1475061939973
"StarA_(2534,3467)",15,V462_sloan_r_60.000secs_00000170_red.fits,60963.176143171295,2579.0362751579237,3436.9862192626083,3448.857294866855
"StarA_(2534,3467)",16,V462_sloan_r_60.000secs_00000171_red.fits,60963.17684983796,2579.0002582288116,3436.9961523406805,3456.168537658613
"StarA_(2534,3467)",17,V462_sloan_r_60.000secs_00000172_red.fits,60963.177556030096,2578.3427783201664,3436.8857844555773,3506.512747930237
"StarA_(2534,3467)",18,V462_sloan_r_60.000secs_00000173_red.fits,60963.178262800924,2579.0278899523837,3436.993987171745,3162.69145537349
"StarA_(2534,3467)",19,V462_sloan_r_60.000secs_00000174_red.fits,60963.17896923611,2579.060353483512,3437.107720839865,2949.108814159822
"StarA_(2534,3467)",20,V462_sloan_r_60.000secs_00000175_red.fits,60963.17967578704,2579.0067469154583,3437.002861777828,3207.0676341220596
"StarA_(2534,3467)",21,V462_sloan_r_60.000secs_00000176_red.fits,60963.180382210645,2579.0063914302,3437.000326065878,2825.198295306338
"StarA_(2534,3467)",22,V462_sloan_r_60.000secs_00000177_red.fits,60963.18108865741,2578.9960545480003,3437.0102322564353,2966.303033288207
"StarA_(2534,3467)",23,V462_sloan_r_60.000secs_00000178_red.fits,60963.181794502314,2578.999698678237,3437.0040145811845,3186.1983272664684
"StarA_(2534,3467)",24,V462_sloan_r_60.000secs_00000179_red.fits,60963.182501006944,2579.0128135800965,3436.9926527926314,2842.752889254277
"StarA_(2534,3467)",25,V462_sloan_r_60.000secs_00000180_red.fits,60963.183207222224,2579.1206670683187,3436.965869058198,2698.6058366081593
"StarA_(2534,3467)",26,V462_sloan_r_60.000secs_00000181_red.fits,60963.18391393519,2578.9959621746348,3436.997417226731,3259.518056166704
"StarA_(2534,3467)",27,V462_sloan_r_60.000secs_00000182_red.fits,60963.184622534725,2578.996958466011,3437.0161902056334,3482.326216166004
