ID,RA,Dec,mag_z_from_counts,match_distance_arcsec
QSO,23:48:33.33,-30:54:10.23,22.475435068933123,2691.7363429131124
LAE-1,23:50:39.46,-31:47:26.41,25.190915373887343,60.840629397592515
LAE-2,23:49:25.39,-31:46:34.95,26.311236420998476,107.76513989607851
LAE-3,23:49:45.53,-31:39:01.46,26.17894863344615,356.13359079903194
LAE-4,23:48:22.23,-31:37:53.92,26.747285224424505,65.89250255078356
LAE-5,23:48:17.08,-31:30:18.94,26.09239120809145,519.5941000231635
LAE-6,23:46:51.65,-31:19:29.93,25.81509206887362,1044.4800350206253
LAE-7,23:52:04.95,-31:16:20.60,25.71948774915274,181.78681808950566
LAE-8,23:44:51.34,-31:14:01.78,26.208246519490935,257.25448798060967
LAE-9,23:49:09.11,-31:11:23.68,26.16126034088858,1666.3915396844268
LAE-10,23:48:38.18,-31:10:25.49,26.42552697726301,1717.6051278755367
LAE-11,23:52:11.44,-31:10:09.82,25.86660249582095,511.81478244552477
LAE-12,23:50:09.67,-31:00:28.43,25.8324947698802,1684.592970382467
LAE-13,23:52:50.08,-30:59:23.05,26.163009282712157,61.26530653737326
LAE-14,23:46:52.33,-30:57:07.02,26.60659229296025,1937.919096860697
LAE-15,23:52:39.27,-30:51:50.73,25.934842609294517,120.7881190039277
LAE-16,23:51:42.32,-30:50:46.97,25.74806463641732,371.3684113456919
LAE-17,23:45:30.76,-30:50:42.20,26.64344015495068,1122.1248766594074
LAE-18,23:45:38.56,-30:41:06.23,25.816874712683237,1073.1983839023906
LAE-19,23:50:56.96,-30:40:16.95,26.31692451820103,928.4919361505529
LAE-20,23:46:20.25,-30:40:03.94,25.43413155580612,1600.2770176241452
LAE-21,23:48:12.27,-30:32:34.32,26.306814031474612,2386.0833485249304
LAE-22,23:44:45.07,-30:31:07.12,26.220444773296524,364.0675628367279
LAE-23,23:47:37.50,-30:28:28.35,25.94281739607799,1876.625964829893
LAE-24,23:44:31.64,-30:27:35.79,25.813684359890495,190.11382094190685
LAE-25,23:47:38.55,-30:25:47.75,25.59049935677644,1799.7771601282327
LAE-26,23:44:36.91,-30:25:04.43,26.386255733188325,256.89549923642966
LAE-27,23:48:21.02,-30:24:04.19,25.920674203792064,2015.2466320031203
LAE-28,23:47:21.19,-30:22:53.54,25.73805078216295,1517.852745918066
LAE-29,23:46:27.28,-30:21:51.57,25.966714951930385,930.0188639366048
LAE-30,23:49:27.05,-30:21:25.98,25.872427024897075,1650.776294109622
LAE-31,23:50:27.20,-30:21:13.39,26.003951437055587,1021.6611749769178
LAE-32,23:45:02.91,-30:12:32.87,26.60992263287279,73.73058055870352
LAE-33,23:49:34.65,-30:12:40.49,26.32406898371921,1210.0310737756176
LAE-34,23:50:23.24,-30:10:45.41,26.04606716243143,711.2705428618832
LAE-35,23:50:45.07,-30:05:13.35,25.640929565994664,306.09605330173275
LAE-36,23:49:43.48,-30:03:01.26,26.10346408487704,750.484872937671
LAE-37,23:50:36.54,-30:01:46.79,25.818863316938497,175.2618641822348
LAE-38,23:48:43.58,-29:53:13.94,26.180872883288856,164.6844766620955
