my_name,cand_name,my_ra,my_dec,cand_ra,cand_dec,my_nb,my_nb_err,cand_nb,cand_nb_err,my_flux,delta_nb
Target-02,LAE-1,357.6644166666666,-31.790669444444447,357.6644166666666,-31.790669444444447,24.426195539128443,,24.11,0.12,,0.31619553912844367
Target-08,LAE-7,358.02062499999994,-31.272388888888887,358.02062499999994,-31.272388888888887,23.651525930470175,,23.5,0.07,,0.15152593047017504
Target-12,LAE-11,358.04766666666666,-31.16939444444445,358.04766666666666,-31.16938888888889,24.510998127570193,,24.47,0.18,,0.0409981275701945
Target-03,LAE-2,357.3557916666666,-31.776375,357.3557916666666,-31.776374999999998,24.730550475098894,,24.73,0.22,,0.0005504750988940543
Target-04,LAE-3,357.4397083333333,-31.650405555555555,357.4397083333333,-31.650405555555555,24.693452622765268,,24.59,0.19,,0.10345262276526768
Target-05,LAE-4,357.09262499999994,-31.631644444444444,357.09262499999994,-31.631644444444444,24.65162588584115,,24.46,0.17,,0.19162588584114815
Target-06,LAE-5,357.0711666666666,-31.50526111111111,357.0711666666666,-31.50526111111111,23.745376750188314,,23.59,0.07,,0.15537675018831365
Target-07,LAE-6,356.7152083333333,-31.324980555555555,356.7152083333333,-31.324980555555555,24.377604337424945,,24.37,0.16,,0.007604337424943708
Target-10,LAE-9,357.2879583333333,-31.189911111111112,357.2879583333333,-31.189911111111112,24.519107626587985,,24.53,0.18,,-0.010892373412016099
Target-11,LAE-10,357.15908333333334,-31.173747222222225,357.15908333333334,-31.173722222222224,24.953454899604985,,24.49,0.18,,0.46345489960498654
Target-09,LAE-8,356.21391666666665,-31.23382777777778,356.21391666666665,-31.23382777777778,24.22268371708173,,24.08,0.12,,0.14268371708173078
Target-14,LAE-13,358.2086666666666,-30.98973611111111,358.2086666666666,-30.989722222222223,24.7303680212975,,24.37,0.16,,0.3603680212975
Target-16,LAE-15,358.16362499999997,-30.864091666666667,358.16362499999997,-30.864083333333333,24.41663852857421,,24.32,0.16,,0.09663852857421062
Target-17,LAE-16,357.92633333333333,-30.846380555555555,357.92633333333333,-30.84636111111111,25.00904467567606,,24.46,0.16,,0.5490446756760576
Target-20,LAE-19,357.7373333333333,-30.671375,357.7373333333333,-30.67136111111111,24.227867352579832,,24.07,0.12,,0.15786735257983153
Target-01,QSO,357.1388749999999,-30.902841666666664,357.1388749999999,-30.902841666666664,20.973277572122495,,20.86,,,0.11327757212249523
Target-13,LAE-12,357.5402916666666,-31.007897222222223,357.5402916666666,-31.00788888888889,25.02199969860458,,24.2,0.14,,0.8219996986045821
Target-15,LAE-14,356.71804166666664,-30.95195,356.71804166666664,-30.951944444444443,24.75983022867043,,24.66,0.22,,0.0998302286704309
Target-22,LAE-21,357.05112499999996,-30.54286666666667,357.05112499999996,-30.54286111111111,24.148192661410363,,24.22,0.14,,-0.07180733858963606
Target-18,LAE-17,356.3781666666666,-30.84505555555555,356.3781666666666,-30.845055555555554,25.115726668197116,,24.72,0.22,,0.395726668197117
