Name,ra,dec,mag_z,zp
Target-1,357.1388749999999,-30.902841666666664,22.531322650828,30.506
Target-2,357.6644166666666,-31.790669444444447,25.313630621226224,30.506
Target-3,357.3557916666666,-31.776375,26.569245949838056,30.506
Target-4,357.4397083333333,-31.650405555555555,26.20561998767487,30.506
Target-5,357.09262499999994,-31.631644444444444,29.151726601867615,30.506
Target-6,357.0711666666666,-31.50526111111111,26.577983394983654,30.506
Target-7,356.7152083333333,-31.324980555555555,26.06760799665824,30.506
Target-8,358.02062499999994,-31.272388888888887,25.904785920159167,30.506
Target-9,356.21391666666665,-31.23382777777778,26.080974057287012,30.506
Target-10,357.2879583333333,-31.189911111111112,26.151108779945886,30.506
Target-11,357.15908333333334,-31.173747222222225,26.30341958634954,30.506
Target-12,358.04766666666666,-31.16939444444445,25.913002885730407,30.506
Target-13,357.5402916666666,-31.007897222222223,,30.506
Target-14,358.2086666666666,-30.98973611111111,,30.506
Target-15,356.71804166666664,-30.95195,26.638037529656547,30.506
Target-16,358.16362499999997,-30.864091666666667,26.14442522125715,30.506
Target-17,357.92633333333333,-30.846380555555555,27.11994240438901,30.506
Target-18,356.3781666666666,-30.84505555555555,26.332716253395716,30.506
Target-19,356.4106666666666,-30.685063888888887,,30.506
Target-20,357.7373333333333,-30.671375,26.987780241591032,30.506
Target-21,356.5843749999999,-30.667761111111112,25.741173444971437,30.506
Target-22,357.05112499999996,-30.54286666666667,26.319869275016984,30.506
Target-23,356.1877916666666,-30.518644444444444,26.504545782555567,30.506
Target-24,356.90625,-30.474541666666664,25.90354614254823,30.506
Target-25,356.1318333333333,-30.459941666666666,25.545959811643172,30.506
Target-26,356.910625,-30.42993055555556,25.949325890159255,30.506
Target-27,356.1537916666667,-30.417897222222223,26.364698736662625,30.506
Target-28,357.08758333333327,-30.401163888888888,26.20064632041292,30.506
Target-29,356.83829166666663,-30.38153888888889,26.602701571393094,30.506
Target-30,356.61366666666663,-30.364325,26.124082482995913,30.506
Target-31,357.3627083333333,-30.35721666666667,25.821389442142863,30.506
Target-32,357.6133333333333,-30.353719444444447,,30.506
Target-33,356.2621249999999,-30.209130555555554,26.50464729635293,30.506
Target-34,357.39437499999997,-30.211247222222223,26.4714438215407,30.506
Target-35,357.5968333333333,-30.179280555555557,26.16067141589193,30.506
Target-36,357.6877916666666,-30.087041666666664,25.916668621287243,30.506
Target-37,357.43116666666657,-30.05035,25.723945757266826,30.506
Target-38,357.6522499999999,-30.029663888888887,25.71929632079746,30.506
Target-39,357.1815833333333,-29.887205555555553,26.21558870976938,30.506
